machine_id,lifespan_class,is_future,Type,day_index,reading_index,date,timestamp,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
MCH-S-01,short,0,H,0,0,2026-01-01,2026-01-01T00:18:00,300.525,311.972,1571.076,56.146,13.189
MCH-S-01,short,0,H,0,1,2026-01-01,2026-01-01T03:18:00,300.682,312.296,1583.534,56.788,13.389
MCH-S-01,short,0,H,0,2,2026-01-01,2026-01-01T06:18:00,300.618,312.558,1605.741,57.783,13.564
MCH-S-01,short,0,H,0,3,2026-01-01,2026-01-01T09:18:00,300.566,316.337,1489.282,63.812,13.7
MCH-S-01,short,0,H,0,4,2026-01-01,2026-01-01T12:18:00,300.619,316.343,1476.465,64.591,13.864
MCH-S-01,short,0,H,0,5,2026-01-01,2026-01-01T15:18:00,300.632,316.432,1454.49,65.076,14.116
MCH-S-01,short,0,H,0,6,2026-01-01,2026-01-01T18:18:00,300.712,316.492,1437.406,65.637,14.209
MCH-S-01,short,0,H,0,7,2026-01-01,2026-01-01T21:18:00,300.612,316.703,1441.988,65.569,14.368
MCH-S-01,short,0,H,1,0,2026-01-02,2026-01-02T00:18:00,301.016,316.998,1448.644,65.275,14.539
MCH-S-01,short,0,H,1,1,2026-01-02,2026-01-02T03:18:00,301.29,317.58,1465.251,65.638,14.692
MCH-S-01,short,0,H,1,2,2026-01-02,2026-01-02T06:18:00,301.572,318.103,1482.68,66.092,14.825
MCH-S-01,short,0,H,1,3,2026-01-02,2026-01-02T09:18:00,301.763,318.415,1480.616,67.19,14.925
MCH-S-01,short,0,H,1,4,2026-01-02,2026-01-02T12:18:00,301.816,318.921,1484.95,67.868,15.083
MCH-S-01,short,0,H,1,5,2026-01-02,2026-01-02T15:18:00,301.98,319.199,1475.51,67.537,15.262
MCH-S-01,short,0,H,1,6,2026-01-02,2026-01-02T18:18:00,302.198,319.147,1453.538,68.086,15.432
MCH-S-01,short,0,H,1,7,2026-01-02,2026-01-02T21:18:00,302.386,319.613,1453.75,67.404,15.633
MCH-S-01,short,0,H,2,0,2026-01-03,2026-01-03T00:18:00,302.88,320.027,1463.676,66.901,15.832
MCH-S-01,short,0,H,2,1,2026-01-03,2026-01-03T03:18:00,303.266,320.603,1481.874,66.997,15.99
MCH-S-01,short,0,H,2,2,2026-01-03,2026-01-03T06:18:00,303.558,320.945,1499.392,67.826,16.16
MCH-S-01,short,0,H,2,3,2026-01-03,2026-01-03T09:18:00,303.717,321.55,1498.892,69.038,16.277
MCH-S-01,short,0,H,2,4,2026-01-03,2026-01-03T12:18:00,303.794,321.99,1496.785,70.224,16.417
MCH-S-01,short,0,H,2,5,2026-01-03,2026-01-03T15:18:00,303.956,322.166,1472.007,71.258,16.65
MCH-S-01,short,0,H,2,6,2026-01-03,2026-01-03T18:18:00,304.21,322.349,1451.138,71.559,16.759
MCH-S-01,short,0,H,2,7,2026-01-03,2026-01-03T21:18:00,304.519,322.499,1449.74,71.361,16.946
MCH-S-01,short,0,H,3,0,2026-01-04,2026-01-04T00:18:00,304.981,322.499,1456.062,71.471,17.111
MCH-S-01,short,0,H,3,1,2026-01-04,2026-01-04T03:18:00,305.177,322.369,1463.34,72.003,17.374
MCH-S-01,short,0,H,3,2,2026-01-04,2026-01-04T06:18:00,305.357,322.72,1489.987,72.356,17.528
MCH-S-01,short,0,H,3,3,2026-01-04,2026-01-04T09:18:00,305.39,322.849,1494.03,74.003,17.616
MCH-S-01,short,0,H,3,4,2026-01-04,2026-01-04T12:18:00,305.493,322.503,1486.175,74.807,17.78
MCH-S-01,short,0,H,3,5,2026-01-04,2026-01-04T15:18:00,305.455,322.569,1463.556,74.83,17.892
MCH-S-01,short,0,H,3,6,2026-01-04,2026-01-04T18:18:00,305.652,322.585,1452.2,75.605,18.013
MCH-S-01,short,0,H,3,7,2026-01-04,2026-01-04T21:18:00,305.888,322.417,1437.815,75.761,18.162
MCH-S-01,short,0,H,4,0,2026-01-05,2026-01-05T00:18:00,305.856,322.339,1443.992,75.457,18.314
MCH-S-01,short,0,H,4,1,2026-01-05,2026-01-05T03:18:00,305.903,322.094,1460.281,76.108,18.504
MCH-S-01,short,0,H,4,2,2026-01-05,2026-01-05T06:18:00,305.903,321.936,1479.628,76.199,18.678
MCH-S-01,short,0,H,4,3,2026-01-05,2026-01-05T09:18:00,305.693,322.028,1493.597,77.175,18.81
MCH-S-01,short,0,H,4,4,2026-01-05,2026-01-05T12:18:00,305.405,321.81,1484.125,78.333,18.999
MCH-S-01,short,0,H,4,5,2026-01-05,2026-01-05T15:18:00,305.229,321.29,1455.281,79.006,19.178
MCH-S-01,short,0,H,4,6,2026-01-05,2026-01-05T18:18:00,305.064,320.97,1446.854,79.011,19.311
MCH-S-01,short,0,H,4,7,2026-01-05,2026-01-05T21:18:00,305.005,320.649,1437.719,78.944,19.473
MCH-S-01,short,0,H,5,0,2026-01-06,2026-01-06T00:18:00,304.704,320.641,1451.988,78.895,19.737
MCH-S-01,short,0,H,5,1,2026-01-06,2026-01-06T03:18:00,304.431,320.452,1467.442,79.952,19.926
MCH-S-01,short,0,H,5,2,2026-01-06,2026-01-06T06:18:00,304.102,320.165,1481.941,80.488,20.013
MCH-S-01,short,0,H,5,3,2026-01-06,2026-01-06T09:18:00,303.648,319.987,1493.365,81.56,20.121
MCH-S-01,short,0,H,5,4,2026-01-06,2026-01-06T12:18:00,303.298,319.366,1490.599,82.413,20.283
